id,partner,order_datetime,item,category,unit_price,quantity,sales
1,J-Mart,2020-10-29 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
2,Bullseye,2019-11-22 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
3,Doormart,2019-04-17 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
4,Nile.com,2020-05-07 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
5,Priceco,2021-10-25 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
6,Walblues,2019-04-09 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,10,631.9
7,J-Mart,2020-10-16 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
8,Bullseye,2021-04-13 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
9,Doormart,2019-03-31 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
10,Nile.com,2020-07-01 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,200,710
11,Priceco,2021-01-11 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
12,Walblues,2021-07-12 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
13,J-Mart,2021-03-14 08:00:00 UTC,Typewriter,Odd Equipment,63.19,50,3159.5
14,Bullseye,2020-12-22 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
15,Doormart,2020-04-24 08:00:00 UTC,Microscope,Odd Equipment,102.24,200,20448
16,Nile.com,2020-11-29 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
17,Priceco,2019-10-29 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
18,Walblues,2020-11-03 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
19,J-Mart,2021-05-17 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
20,Bullseye,2021-06-22 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
21,Doormart,2020-05-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
22,Nile.com,2020-06-08 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
23,Priceco,2021-10-17 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
24,Walblues,2021-03-01 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
25,J-Mart,2020-05-20 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
26,Bullseye,2021-05-23 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
27,Doormart,2019-04-14 08:00:00 UTC,Typewriter,Odd Equipment,63.19,200,12638
28,Nile.com,2019-07-09 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
29,Priceco,2020-02-19 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
30,Walblues,2019-05-31 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
31,J-Mart,2021-10-01 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
32,Bullseye,2021-08-21 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
33,Doormart,2020-09-27 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
34,Nile.com,2019-12-16 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
35,Priceco,2019-05-26 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
36,Walblues,2020-06-04 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
37,J-Mart,2021-05-12 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
38,Bullseye,2019-02-10 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
39,Doormart,2019-04-20 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
40,Nile.com,2020-04-21 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,50,3159.5
41,Priceco,2021-05-10 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
42,Walblues,2020-11-01 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
43,J-Mart,2019-11-24 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
44,Bullseye,2020-09-12 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
45,Doormart,2019-03-24 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
46,Nile.com,2021-11-14 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
47,Priceco,2019-09-10 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
48,Walblues,2020-02-21 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,50,3159.5
49,J-Mart,2021-04-15 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
50,Bullseye,2020-06-02 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
