character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Major Bob Driver","2022",0,2,2
"Curiosity Mars Rover","2012",0,1,1
"Terry Burkhalter","2015",0,1,1
"R.O. Manse","2009",1,1,2
"Dr. Chet Mariongello","2019",0,1,1
"Dr. Crack","2023",0,1,1
"Dolores Brainwater","2023",0,1,1
"Donna Sticks","2019",0,1,1
"Danny Glover","2010",0,1,1
"Len Wiseman","2014",1,1,2
"Stan Lee","2009",0,1,1
"Ian Appaloosa","2021",0,1,1
"Ned Kemper","2019",0,1,1
"Genzer and Genevieve Smartz","2020",0,1,1
"Conroy","2019",0,1,1
"Brian Barber","2015",0,1,1
"Kaslida Andrews","2013",0,1,1
"Sergei","2018",0,1,1
"Grance Prebs","2023",0,1,1
"Shauna","2014",0,2,2
"Olaf's Middle Part","2022",0,1,1
"Ezekiel Craddock","2019",0,1,1
"Cooper F. Worthington-Tompkins","2017",0,1,1
"Augie Augerman","2018",1,0,1
"John Shantally","2012",0,1,1
"Lil' Gary","2011",0,2,2
"Dov Charney","2014",0,2,2
"Batman","2018",1,0,1
"Mark","2016",0,1,1
"Jake","2017",0,1,1
"Scaroline","2014",0,1,1
"Turd Dunkweed","2016",1,0,1
"Casey","2023",0,1,1
"Brian Credit","2017",0,1,1
"Jennifer Spot","2017",0,2,2
"Young Miss Willow Panloose","2023",0,1,1
"Pretty Liz","2014",0,1,1
"Robert Chastman","2019",1,0,1
"Victor Diamond","2013",0,1,1
"Mayor Junius Bobbledoonary","2017",2,0,2
"Dr. Kevin Kenwait","2022",0,1,1
"Sloppy Timmy Slotzman","2009",0,1,1
"Josh Yadegar","2017",0,1,1
"Frank Frank","2015",0,1,1
"Linda Gravel","2016",0,1,1
"Willadeene Marie Bates","2022",0,1,1
"Live Taylor","2015",1,0,1
"Chris Rock","2012",0,1,1
"Vegetarian Robot","2011",0,1,1
"Kim Bega","2017",1,0,1
"Sir Michael Caine","2016",0,1,1
"Barry Bunbuster Barryball","2022",0,1,1
"Haney Dilf","2022",1,0,1
"Sunny","2019",0,1,1
"Sarah Lastnum","2019",0,1,1
"Kent Daarvilstaow","2016",0,1,1
"Dina the Dinosaur","2021",0,1,1
"Jack Persimmons","2022",0,1,1
"Little Joe and Big Charlie Bardi","2021",0,1,1
"Hughie Chism","2022",0,1,1
"Dusty Stevens","2015",0,1,1
"Donald Ump","2022",0,1,1
"Thurl Ravenscroft","2021",0,1,1
"Morgan Weeston-Smythe","2021",0,1,1
"Jackson Maine","2019",0,1,1
"Scott's Nephew Todd","2015",0,1,1
"Marcus Tanner","2020",0,1,1
"Debbie Creepy","2018",0,1,1
"The and Waylont Neely","2022",0,1,1
"Bro","2016",0,1,1
"Officer Dreary","2021",1,0,1
"Chazmin","2016",0,2,2
"Forsythia","2018",0,1,1
"Captain Littlemember","2020",0,1,1
"Denver Coward","2015",0,1,1
"Harvey the Truth Seeker","2022",0,1,1
"Lavinia Marsh Caruthers","2018",0,1,1
"R. Schrift","2016",1,1,2
"Mall McCartney","2019",0,1,1
"Dean Unda","2016",0,1,1
"Todd Wickey","2009",0,1,1
"Diana Deep","2021",1,0,1
"Candle St. Louis","2023",0,1,1
"Jerone Buckethat","2020",0,1,1
"Richie Castlebaum","2022",1,0,1
"Dre Wonka","2022",0,1,1
"Ice-T","2010",3,2,5
"Frank Wonderbread","2022",0,1,1
"Bueford LeBaron","2014",0,1,1
"Goat","2012",0,1,1
"Chippy Dipps","2022",0,1,1
"Garry Marshall","2013",1,4,5
"Garry the Gardener","2022",1,0,1
"Eric ""Gutterballs"" Gutterman","2015",0,2,2
"Danielle Bartiromo","2014",1,0,1
"Dr. Nathan Morrow","2010",0,1,1
"Cleotis Martholobew","2021",0,1,1
"The Dell Guy","2016",0,1,1
"David Koresh","2012",0,1,1
"Clam and Pearl","2023",0,1,1
"Tricia Seawater","2020",1,0,1
"Jefferson Milkyway","2020",0,1,1
"Jonathan Biting","2021",0,1,1
"Dump Dump","2017",0,1,1
"Natalie Scoppapoppalee","2016",0,1,1
"Carter Meza","2019",0,1,1
"Ebesneezer Scrooge","2010",1,0,1
"Cake Boss","2011",0,4,4
"Fred Phelps","2011",0,1,1
"Stephen Road","2019",0,1,1
"Gary and Marge Filipowski","2021",0,1,1
"Bones McGrill","2017",0,1,1
"Barry Sams","2020",0,1,1
"Janice Bullhorn","2016",0,1,1
"The Mailer Daemon","2016",1,1,2
"Frosty the Snowman","2016",1,0,1
"Chris","2018",0,1,1
"Codi","2023",0,1,1
"Phoebe Chi Chi Roo","2022",0,1,1
"Tracy Evigan","2017",0,1,1
"Benny Sands","2023",0,1,1
"Trevor","2014",0,1,1
"Ringo Starr","2017",0,1,1
"Waldo","2017",0,1,1
"Carl Coaster","2017",0,1,1
"COOTER","2022",0,1,1
"Ana Conda","2020",0,1,1
"Greg","2023",0,1,1
"Sophie Purell","2019",0,1,1
"Sam Elliott","2016",0,1,1
"Cyberthug","2010",0,2,2
"Bever Hopox","2017",1,0,1
"Daniel","2016",0,1,1
"Barbra Streisand","2015",0,1,1
"Robby Delmuda","2022",0,2,2
"King George VI","2011",0,1,1
"Jen","2018",0,1,1
"Fifinella","2023",0,1,1
"Devon Westinghouse","2019",0,1,1
"Danny Diamonds","2019",1,0,1
"Len Wiseman","2015",1,0,1
"Katie Wong","2013",1,0,1
"Bobby Bottleservice","2009",1,2,3
"The Chief","2020",1,0,1
"Mr. Brainwash","2010",0,1,1
"The Sheriff of Nottingham","2014",0,1,1
"Fred Head","2019",0,1,1
"Entrée PeeE Neur","2019",1,3,4
"August Lindt","2017",0,1,1
"Mike the Janitor","2016",0,2,2
"Gino Lombardo","2016",2,10,12
"Mayor Junius Bobbledoonary","2019",0,1,1
"Pope Benedict XVI","2012",0,1,1
"Dr. Traygo","2015",0,1,1
"Jack Sjunior","2012",1,0,1
"Jack Furz","2018",0,1,1
"Burgey Sullenberger","2019",0,1,1
"Tom Leykis","2013",1,1,2
"Chazmin","2015",1,0,1
"Fryvault","2013",1,0,1
"Sprague The Whisperer","2018",0,1,1
"Dimples","2016",0,1,1
"Chippy Dipps","2023",0,1,1
